notificationId,userId,type,message,relatedId,isRead,createdAt
n1001,a1111111-1111-4111-8111-111111111111,APPLICATION_SELECTED,Your application is selected for Data Structures TA,90111111-1111-4111-8111-111111111111,true,2026-04-08 16:10:00
n1002,b2222222-2222-4222-8222-222222222222,NEW_APPLICATION,New application received for Data Structures TA,90222222-2222-4222-8222-222222222222,true,2026-04-08 14:21:00
n1003,c3333333-3333-4333-8333-333333333333,NEW_APPLICATION,New application received for Database Systems TA,90333333-3333-4333-8333-333333333333,false,2026-04-09 10:01:00
n1004,e5555555-5555-4555-8555-555555555555,APPLICATION_REJECTED,Your application was rejected for Data Structures TA,90222222-2222-4222-8222-222222222222,true,2026-04-08 16:12:00
n1005,a1111111-1111-4111-8111-111111111111,APPLICATION_WITHDRAWN,Your withdrawal request is completed for Database Systems TA,90444444-4444-4444-8444-444444444444,true,2026-04-09 11:05:00
n1006,b2222222-2222-4222-8222-222222222222,NEW_APPLICATION,New application received for Software Testing TA,90666666-6666-4666-8666-666666666666,true,2026-04-05 09:31:00
n1007,f6666666-6666-4666-8666-666666666666,MESSAGE,You have a new message in application chat,90333333-3333-4333-8333-333333333333,false,2026-04-09 11:01:00
72fa83eb-bde4-4f17-9227-1f23cfcd7d5b,b2222222-2222-4222-8222-222222222222,NEW_APPLICATION,📬 New application received\n\nPosition: [Software Testing TA] (4 hrs/week)\nApplicant: 11 (lsy2023@bupt.edu.cn)\nSkills: 未填写\n\nCurrent applications: 2 (Pending: 2\, Selected: 0)\n\n💡 Please check "My Positions" for details and process the application promptly.,30333333-3333-4333-8333-333333333333,false,2026-04-12 11:26:52
7f54f104-c288-44f2-acaf-df8d95e60529,b2222222-2222-4222-8222-222222222222,APPLICATION_WITHDRAWN,⚠️ Application Withdrawn\n\nPosition: [Software Testing TA]\nWithdrawn by: 11 (lsy2023@bupt.edu.cn)\n\nRemaining applications: 2 (Pending: 1\, Selected: 0)\n\n💡 Please review the remaining applications promptly to avoid further loss.,30333333-3333-4333-8333-333333333333,false,2026-04-12 11:32:15
5ff13434-f54a-4ace-80e7-d30ea16444b7,c3333333-3333-4333-8333-333333333333,NEW_APPLICATION,📬 New application received\n\nPosition: [Database Systems TA] (5 hrs/week)\nApplicant: 11 (lsy2023@bupt.edu.cn)\nSkills: 未填写\n\nCurrent applications: 4 (Pending: 2\, Selected: 1)\n\n💡 Please check "My Positions" for details and process the application promptly.,20222222-2222-4222-8222-222222222222,false,2026-04-12 11:33:17
92f5907f-7f3a-4e6c-aa32-c55f8ac2cd15,f6666666-6666-4666-8666-666666666666,APPLICATION_SELECTED,🎉 Congratulations! Your application has been selected.\n\nPosition: [Software Testing TA] (4 hrs/week)\nDescription: Help test assignments and reports\n\nOwner: Athena\nEmail: athena@example.com\n\nYou were selected among 2 applicants.\n\n💡 Please contact the owner within 3 business days to confirm arrangements.,30333333-3333-4333-8333-333333333333,false,2026-04-12 14:07:30
