notificationId,userId,type,message,relatedId,isRead,createdAt
n1001,a1111111-1111-4111-8111-111111111111,APPLICATION_SELECTED,Your application is selected for Data Structures TA,90111111-1111-4111-8111-111111111111,false,2026-04-08 16:10:00
n1002,b2222222-2222-4222-8222-222222222222,NEW_APPLICATION,New application received for Data Structures TA,90222222-2222-4222-8222-222222222222,true,2026-04-08 14:21:00
n1003,c3333333-3333-4333-8333-333333333333,NEW_APPLICATION,New application received for Database Systems TA,90333333-3333-4333-8333-333333333333,false,2026-04-09 10:01:00
n1004,e5555555-5555-4555-8555-555555555555,APPLICATION_REJECTED,Your application was rejected for Data Structures TA,90222222-2222-4222-8222-222222222222,true,2026-04-08 16:12:00
n1005,a1111111-1111-4111-8111-111111111111,APPLICATION_WITHDRAWN,Your withdrawal request is completed for Database Systems TA,90444444-4444-4444-8444-444444444444,true,2026-04-09 11:05:00
n1006,b2222222-2222-4222-8222-222222222222,NEW_APPLICATION,New application received for Software Testing TA,90666666-6666-4666-8666-666666666666,true,2026-04-05 09:31:00
n1007,f6666666-6666-4666-8666-666666666666,MESSAGE,You have a new message in application chat,90333333-3333-4333-8333-333333333333,false,2026-04-09 11:01:00
n1008,d4444444-4444-4444-8444-444444444444,MESSAGE,System has active unread conversation alerts,90333333-3333-4333-8333-333333333333,false,2026-04-10 08:00:00
a04452e8-1f5f-415d-b61f-f6a12686dd09,c3333333-3333-4333-8333-333333333333,NEW_APPLICATION,📬 New application received\n\nPosition: [Database Systems TA] (5 hrs/week)\nApplicant: DemoNewTAsss (demonewta@example.com)\nSkills: web development\n\nCurrent applications: 4 (Pending: 2\, Selected: 1)\n\n💡 Please check My Positions for details and process the application promptly.,20222222-2222-4222-8222-222222222222,true,2026-04-11 17:47:33
ffbf0b49-9ea4-4fbc-a8a1-a3852dab328b,b2222222-2222-4222-8222-222222222222,NEW_APPLICATION,📬 New application received\n\nPosition: [Software Testing TA] (4 hrs/week)\nApplicant: DemoNewTAsss (demonewta@example.com)\nSkills: web development\n\nCurrent applications: 2 (Pending: 2\, Selected: 0)\n\n💡 Please check "My Positions" for details and process the application promptly.,30333333-3333-4333-8333-333333333333,false,2026-04-11 17:48:59
00ed6d26-ff07-43c0-b477-fd9a22516163,b2222222-2222-4222-8222-222222222222,APPLICATION_WITHDRAWN,⚠️ Application Withdrawn\n\nPosition: [Software Testing TA]\nWithdrawn by: DemoNewTAsss (demonewta@example.com)\n\nRemaining applications: 2 (Pending: 1\, Selected: 0)\n\n💡 Please review the remaining applications promptly to avoid further loss.,30333333-3333-4333-8333-333333333333,false,2026-04-11 17:49:44
55573208-e440-4a64-a9e6-743b5074cc68,f6666666-6666-4666-8666-666666666666,APPLICATION_SELECTED,🎉 Congratulations! Your application has been selected.\n\nPosition: [Database Systems TA] (5 hrs/week)\nDescription: Assist SQL lab and grading\n\nOwner: Poseidon\nEmail: poseidon@example.com\n\nYou were selected among 4 applicants.\n\n💡 Please contact the owner within 3 business days to confirm arrangements.,20222222-2222-4222-8222-222222222222,false,2026-04-11 18:08:34
3a8a7825-7e90-41b0-a9c4-1da52c80054b,e5555555-5555-4555-8555-555555555555,APPLICATION_SELECTED,🎉 Congratulations! Your application has been selected.\n\nPosition: [Database Systems TA] (5 hrs/week)\nDescription: Assist SQL lab and grading\n\nOwner: Poseidon\nEmail: poseidon@example.com\n\nYou were selected among 4 applicants.\n\n💡 Please contact the owner within 3 business days to confirm arrangements.,20222222-2222-4222-8222-222222222222,false,2026-04-11 18:08:34
bf2e8af0-c194-43f5-bbec-f4b4ff1a765d,4ebd95da-7a5a-48ab-ba4d-49c90efc4723,APPLICATION_REJECTED,📋 Application Result\n\nPosition: [Database Systems TA] (5 hrs/week)\nCompetition: 4 applicants\, 2 selected\n\nWe regret to inform you that your application was not selected.\n\n💪 Keep trying and look for other suitable positions!,20222222-2222-4222-8222-222222222222,false,2026-04-11 18:08:34
3603b008-67da-460d-9a58-a5da2e89860b,b2222222-2222-4222-8222-222222222222,NEW_APPLICATION,📬 New application received\n\nPosition: [Software Testing TA] (4 hrs/week)\nApplicant: Artemis (artemis@example.com)\nSkills: Python|Testing\n\nCurrent applications: 3 (Pending: 2\, Selected: 0)\n\n💡 Please check "My Positions" for details and process the application promptly.,30333333-3333-4333-8333-333333333333,false,2026-04-11 18:22:34
